,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
1157,104,479.8187009728656,299.9939277449374,625.2235003276842,475.22653645521547,816.3535436981714,1.3056987513590173,2007
1158,105,583.8019993508638,189.86967472183443,325.22957258274675,230.29473522182954,341.1270072429559,1.0488806553904764,2007
1159,106,718.841344371603,97.30229095234108,135.35989786091233,86.70875238474179,110.83227202112641,0.8187969536960716,2007
1160,107,869.4718699650792,33.09001864519135,38.05760690857124,21.512597585975563,24.12351963638463,0.6338685376182072,2007
1161,108,974.4286772300695,4.84056046050888,4.967588263379885,2.547308033125445,2.6109220504090653,0.5255914765835739,2007
1162,109,999.2118592800875,0.12692768708700133,0.12702780287100499,0.06356395932750432,0.06361401728362019,0.500788141224637,2007
1163,110,999.9993596010182,0.00010011571988959577,0.0001001157840036419,5.0057924058844015e-05,5.005795611586708e-05,0.5000006403989817,2007
1164,111,999.9999999995896,6.411404612900022e-11,6.411404612902654e-11,3.2057023064526425e-11,3.205702306453958e-11,0.5000000000004104,2007
1165,112,1000.0,2.631523175555792e-23,2.631523175555792e-23,1.315761587777896e-23,1.315761587777896e-23,0.5,2007
1166,113,1000.0,4.433181427714864e-48,4.433181427714864e-48,2.216590713857432e-48,2.216590713857432e-48,0.5,2007
1167,114,1000.0,1.258149116901927e-97,1.258149116901927e-97,6.290745584509635e-98,6.290745584509635e-98,0.5,2007
1168,115,1000.0,1.0133636948807837e-196,1.0133636948807837e-196,5.0668184744039183e-197,5.0668184744039183e-197,0.5,2007
1169,116,1000.0,1.0133636948807837e-196,1.0133636948807837e-196,5.0668184744039183e-197,5.0668184744039183e-197,0.5,2007
1170,0,23.2951829850518,2329.51829850518,100000.0,98835.24085074742,7286913.241954662,72.86913241954662,2008
1171,1,2.291215774295791,223.78414835753333,97670.48170149482,97558.58962731605,7188078.001103915,73.59519351069099,2008
1172,2,1.1878852345858273,115.75549318252266,97446.69755313729,97388.81980654603,7090519.411476599,72.76305497792953,2008
1173,3,0.7783688941209701,75.7593777349592,97330.94205995476,97293.06237108729,6993130.591670053,71.84899728353973,2008
1174,4,0.567656924337529,55.207577877273415,97255.1826822198,97227.57889328117,6895837.529298967,70.90457638469547,2008
1175,5,0.4416472436526541,42.92810108793948,97199.97510434253,97178.51105379857,6798609.950405685,69.9445647296462,2008
1176,6,0.36011020081680534,34.98724370710981,97157.0470032546,97139.55338140106,6701431.4393518865,68.97524828155183,2008
1177,7,0.30574291250453123,29.694381419323186,97122.0597595475,97107.21256883783,6604291.885970484,67.99991579998647,2008
1178,8,0.2705771113628705,26.270971759402297,97092.36537812818,97079.22989224848,6507184.673401646,67.02055973257305,2008
1179,9,0.2514463694836138,24.406917038435147,97066.09440636878,97053.89094784956,6410105.443509398,66.03856354489125,2008
1180,10,0.24843738185771733,24.108782770904032,97041.68748933035,97029.6330979449,6313051.5525615495,65.05504712349179,2008
1181,11,0.26465746333667023,25.676426279543776,97017.57870655945,97004.74049341967,6216021.919463605,64.0710889957856,2008
1182,12,0.3068566730260911,29.762612444198428,96991.9022802799,96977.0209740578,6119017.178970185,63.08791801286575,2008
