,0,1,2
10,"[-8.374879918652574, -8.42509206722955, -8.260639052498142, -8.236061555924813, -8.277446267786424, -8.287448585624794, -8.333678793753485, -8.363843666980962, -8.400634753177862, -8.407799933231423]","[-8.416946362406199, -8.27015408471245, -8.15889972791094, -8.19157500535268, -8.226698036939089, -8.27967406034488, -8.334528259635155, -8.386606115549986, -8.424103956371729, -8.444625252559964]","[-8.178805497631597, -8.08436942581849, -8.119544685974883, -8.153026589349079, -8.213356026604938, -8.27215900380926, -8.329444476559924, -8.3678170714231, -8.39261417944746, -8.340887111768293]"
11,"[-8.285098739218094, -8.347474795084574, -8.257211450737097, -8.262546261556574, -8.32407850564284, -8.333453099027404, -8.378208896860608, -8.413247122213372, -8.429975791618356, -8.443965142376848]","[-8.334127263125964, -8.260980919894763, -8.206327096519061, -8.267924745527097, -8.31224205806572, -8.36032950594742, -8.41596686556656, -8.449433294084855, -8.477800616023131, -8.49816650241334]","[-8.189168525348478, -8.176661370742195, -8.216261806386584, -8.259107957082861, -8.327706287103766, -8.383884123015278, -8.438214125531786, -8.488701528358334, -8.512899430888766, -8.457729911851757]"
12,"[-8.113994155053378, -8.164137642804862, -8.155396435384036, -8.221805315438987, -8.273928932819844, -8.291645266089917, -8.357274651501656, -8.373666707400561, -8.380723889425726, -8.415689877674312]","[-8.17179975814265, -8.182925064741491, -8.253251869856237, -8.31902196693313, -8.353722535698532, -8.425946400194286, -8.472156603514074, -8.483297594516396, -8.521471597879051, -8.553991243867992]","[-8.154979187461002, -8.229991685064896, -8.297060418339832, -8.346085544141395, -8.421593430849178, -8.468620277407034, -8.488310774254067, -8.538108152734502, -8.564583623247607, -8.49225251509474]"
13,"[-7.945414860957865, -7.998215832972531, -8.059777007663254, -8.098946237230304, -8.155062162542347, -8.174925373160843, -8.20847008492947, -8.240771615171436, -8.310172924065593, -8.398170792722706]","[-7.996453752767851, -8.055605640661529, -8.094054790240339, -8.148748481672815, -8.169930817585996, -8.196685351458004, -8.227340880808047, -8.298897366997412, -8.38618522512596, -8.40644483829718]","[-7.998771065760478, -8.039737200278863, -8.09563737912856, -8.11971488213919, -8.15635108194135, -8.185195561412796, -8.256862837735637, -8.347990769807323, -8.368233416143879, -8.287379179064258]"
14,"[-7.634549588781879, -7.677566346597955, -7.740588818562315, -7.792003885728405, -7.845786490363166, -7.873756964576528, -7.899443211850808, -7.932952361998246, -7.958199233633564, -8.024164044183777]","[-7.749733707842049, -7.811494409081158, -7.863337828752217, -7.91399842777532, -7.941912741374788, -7.971482028227863, -8.001258701991853, -8.026456256371555, -8.08846055061799, -8.116745148759898]","[-7.7516849512554, -7.810514199206907, -7.869936334559996, -7.90555645770796, -7.945826242337305, -7.989040857771713, -8.019431425849277, -8.083494729021865, -8.116940154353458, -8.057248099366504]"
15,"[-7.1571866993520175, -7.190124073317996, -7.274552115491382, -7.239627660504333, -7.275358640840999, -7.299194724551192, -7.320659463546029, -7.338141343808523, -7.36221604912614, -7.395597861400596]","[-7.213773881068388, -7.299652409722963, -7.26401694955484, -7.29841169806377, -7.323351916840235, -7.343744405528465, -7.358709922974864, -7.386100341549078, -7.412765772065082, -7.439022690972248]","[-7.285668577340613, -7.266256441635261, -7.305693150771032, -7.328092553925882, -7.353330784750352, -7.3733354763064485, -7.404638129559527, -7.439544144359599, -7.461154734057556, -7.326795240205894]"
16,"[-6.942658732951279, -6.966834930077787, -6.989406594381328, -7.024616987750526, -7.05984006573319, -7.076654888064261, -7.094589642555113, -7.121509448931213, -7.13943203662395, -7.167123982057567]","[-6.989582311950886, -7.01181663259145, -7.0435129447209475, -7.081292294554674, -7.103948057286703, -7.121179024346435, -7.1462362358647225, -7.165175034322107, -7.191655545152986, -7.2122043060439465]","[-7.005155022444162, -7.040374702962074, -7.081057298185263, -7.107015461849008, -7.133233918996487, -7.159700616450939, -7.183469680326018, -7.2148898068833685, -7.241289735959802, -7.101181046294007]"
17,"[-6.782826851538278, -6.805410531765677, -6.829568357623078, -6.8624586886231675, -6.893310959867097, -6.915838237336732, -6.932761992744066, -6.9590024253790155, -6.978263886130311, -7.006543322882511]","[-6.823799020878627, -6.848356534994795, -6.879408057115628, -6.912880464724853, -6.9391993948143265, -6.958195827237918, -6.982049093849613, -7.000630433939054, -7.02823993683572, -7.041370251483872]","[-6.846746232918002, -6.881154787352778, -6.9165975457043425, -6.94370910208533, -6.965384129992224, -6.993260838648774, -7.015288517436482, -7.04400166738639, -7.06183360200236, -6.932812136224009]"
18,"[-6.667797329348409, -6.686936617341721, -6.707587097284281, -6.738177206811392, -6.765473150160992, -6.780005533692324, -6.800417105180109, -6.823650869053686, -6.840006450635278, -6.8642842289776445]","[-6.712649811550752, -6.73591584947683, -6.767249325781838, -6.801076284169928, -6.822150467455164, -6.848660763844625, -6.87536227379717, -6.893898100152389, -6.921106856807843, -6.943291817351953]","[-6.738238261326139, -6.77149793623287, -6.807066501363104, -6.828766276373451, -6.8553100836117915, -6.886328020377939, -6.906413433386867, -6.932024120598023, -6.9583197657604865, -6.8343654770990065]"
19,"[-6.591588543632003, -6.610387248822423, -6.630363913156959, -6.658877545871707, -6.689773062148067, -6.70345261776534, -6.722219473586353, -6.744816423297795, -6.759850860477361, -6.784247911439213]","[-6.634147183280482, -6.656837678756609, -6.686534279268279, -6.721402486097111, -6.740815152656331, -6.763010409902825, -6.7887119588070055, -6.80724167382349, -6.835494923647537, -6.857746172007217]","[-6.659806702981636, -6.690695403839395, -6.727879590119168, -6.749678131888554, -6.7757486540329905, -6.798411399821684, -6.820880657757566, -6.852156883801267, -6.881683011303589, -6.771721829424545]"
