,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
91,-2.0633912,-2.069165,-2.074686,-2.0800126,-2.0818276,-2.1097627,-2.1090605,-2.1009974,-2.0854094,-1.9127665
92,-1.9807868,-1.9850045,-1.989268,-1.9929551,-1.9882189,-2.0138874,-2.0124066,-2.0199518,-2.0261314,-1.7882695
93,-1.893617,-1.8977872,-1.9017316,-1.9062321,-1.9045224,-1.9389358,-1.9343182,-1.90858,-1.8914438,-1.6907436
94,-1.8138211,-1.8207748,-1.8272095,-1.8348147,-1.8325946,-1.86564,-1.861507,-1.8430178,-1.8490596,-1.5865372
95,-1.7181554,-1.7235191,-1.7278618,-1.73297,-1.7277379,-1.7682592,-1.7553769,-1.7338792,-1.7489374,-1.4597213
96,-1.6224416,-1.6290696,-1.6363288,-1.6438682,-1.642796,-1.6856344,-1.6657474,-1.6464908,-1.6615645,-1.3949544
97,-1.5151846,-1.5209643,-1.5272973,-1.5336599,-1.5279077,-1.5776365,-1.5548265,-1.5399244,-1.5644658,-1.2054676
98,-1.4038235,-1.4101838,-1.4163321,-1.4228983,-1.4150603,-1.4629513,-1.446865,-1.4344589,-1.4575067,-1.0752715
99,-1.2766068,-1.2818702,-1.286425,-1.2914001,-1.2848477,-1.3273635,-1.3019665,-1.2591454,-1.2755802,-0.93278843
100,-1.144252,-1.1524956,-1.1608896,-1.1687772,-1.1630027,-1.216742,-1.2033441,-1.1918017,-1.1984473,-0.77931005
101,-0.9904026,-0.99839455,-1.0068355,-1.0162617,-1.0068483,-1.0626116,-1.0188117,-0.99840844,-1.0442283,-0.5652741
102,-0.8217114,-0.8331179,-0.8433821,-0.8521522,-0.84213555,-0.89173824,-0.8866623,-0.8647635,-0.82466066,-0.26701233
103,-0.64259493,-0.6563748,-0.6683482,-0.6796468,-0.67311835,-0.76900893,-0.7405858,-0.71083343,-0.66693574,-0.07912906
104,-0.43899095,-0.45700493,-0.47380733,-0.4939097,-0.4932293,-0.5671475,-0.5530743,-0.5084369,-0.51491857,0.028438529
105,-0.24134825,-0.2651383,-0.29265663,-0.32172635,-0.34122726,-0.43833762,-0.39748967,-0.32941335,-0.30568427,0.051411122
106,-0.090847015,-0.112911984,-0.1389772,-0.17147614,-0.18056805,-0.24667405,-0.25184003,-0.2112383,-0.23265082,0.10158935
107,-0.016764697,-0.026070664,-0.038584437,-0.050144102,-0.03970576,-0.0776997,-0.09007627,-0.10988651,-0.13057904,0.048505217
108,-0.0017765282,-0.004605121,-0.007853455,-0.011798224,-0.010275062,-0.02250277,-0.027281865,-0.035321783,-0.0445302,0.000812883
109,-1.8620503e-05,-6.2341234e-05,-0.00013036322,-0.00025108934,-0.00021514828,-0.0009190441,-0.0012865937,-0.0020121518,-0.0028989469,-0.00014241748
110,-2.21524e-08,-7.919938e-08,-1.6127606e-07,-3.462386e-07,-6.56557e-07,-9.50744e-07,-1.9400973e-06,-3.9938805e-06,-8.6594455e-06,-1.1038121e-06
111,2.4080421e-16,-2.3116205e-15,3.490516e-14,-2.4276482e-13,-1.0270583e-12,-1.2399307e-12,-2.8646098e-12,-1.2337784e-11,-7.385985e-11,-7.668685e-12
112,2.404979e-10,4.7715343e-10,6.3681327e-10,8.937034e-10,9.481793e-10,9.80473e-10,1.5819275e-09,1.6832984e-09,1.7345283e-09,1.8215467e-09
113,8.141027e-11,1.5532325e-10,1.9030306e-10,2.5617758e-10,3.382929e-10,6.294886e-10,7.23904e-10,8.4707263e-10,9.060508e-10,9.899601e-10
114,4.4777935e-11,9.828482e-11,1.3642104e-10,2.1518133e-10,2.6810015e-10,3.3338152e-10,4.921346e-10,6.222581e-10,6.9214867e-10,7.722795e-10
115,5.5145916e-11,1.9245325e-10,2.898466e-10,5.359656e-10,9.152641e-10,1.0585166e-09,1.1438079e-09,1.2389935e-09,1.3145772e-09,1.349509e-09
116,6.729533e-11,1.6247358e-10,2.3417893e-10,3.481352e-10,3.8987838e-10,4.5738738e-10,5.31646e-10,5.8155425e-10,6.34199e-10,7.334838e-10
