,0,1,2
31,"[-6.308539854978725, -6.331880644579932, -6.3624595931373085, -6.390582640340134, -6.41542184228222, -6.444097221513792, -6.4783910556338276, -6.501201803480789, -6.531692201887771, -6.558978852500721]","[-6.3281827771253, -6.356709046024741, -6.388914355743588, -6.416667068112553, -6.444142218414606, -6.481407966200174, -6.516866333518089, -6.5467350107765805, -6.580830525342287, -6.616467624638141]","[-6.364409858454485, -6.39667205708148, -6.42379950182559, -6.450055699889083, -6.48608151460113, -6.521624382678885, -6.54720916235866, -6.5819350221198984, -6.614964537416119, -6.648489922378678]"
32,"[-6.279038433169934, -6.306787038406345, -6.334156854262563, -6.360803358441206, -6.3887382784839595, -6.4174706341680015, -6.451546717619511, -6.47811029683611, -6.50515879336557, -6.532228639533731]","[-6.301769166140663, -6.329835357962954, -6.357481104208934, -6.385466699375617, -6.415000223441827, -6.4496917285759325, -6.484504354073512, -6.51384881779443, -6.5431869038183565, -6.576702174617755]","[-6.333217474896156, -6.36103857614442, -6.388333575132929, -6.41864041544839, -6.452752857733213, -6.488045851964198, -6.518466928306662, -6.549066120091521, -6.582524650994383, -6.615138267431103]"
33,"[-6.249442232173342, -6.27585707358684, -6.303094151761789, -6.329073802899975, -6.35557504683401, -6.383382783603329, -6.416794044297594, -6.441392452788014, -6.4698911750283425, -6.497695173468847]","[-6.271998476515003, -6.2996738015659535, -6.327122096250244, -6.3540370914139235, -6.382532218749114, -6.417042264992782, -6.450532166565248, -6.4791245500542605, -6.5105526636340105, -6.54466943843145]","[-6.3041676659344805, -6.330761118253983, -6.358550418561615, -6.387298748290457, -6.421438921636261, -6.45575127417437, -6.4821162004231585, -6.514229283130087, -6.54829093853227, -6.584554840272583]"
34,"[-6.220577386562616, -6.24858851673165, -6.276572793145568, -6.305369570274741, -6.334288481046349, -6.36518020683983, -6.402506796066553, -6.428669053484589, -6.456455982644946, -6.487181165610344]","[-6.239712879396541, -6.267061455510123, -6.2938337534289195, -6.320687655694349, -6.34846222620414, -6.383616989813311, -6.420100482515557, -6.443489741868837, -6.472632479257448, -6.506941035724743]","[-6.269411810926589, -6.295770283109936, -6.322652870110663, -6.3500613786945665, -6.3848321207533205, -6.420968196607622, -6.445374948225411, -6.47432132556239, -6.507374995640906, -6.551910651169213]"
35,"[-6.1847503250457505, -6.212281246668861, -6.238901470787094, -6.26807042118089, -6.294704071245358, -6.325420764274166, -6.36214088369088, -6.38382247183399, -6.416156341321037, -6.449679319746063]","[-6.206776516169794, -6.232437101781852, -6.259536433622725, -6.285399764433987, -6.312483792782314, -6.3477792829577995, -6.371114015236981, -6.3966126382653785, -6.428371229798086, -6.460996659130342]","[-6.23199022886282, -6.259781036050377, -6.285466121034084, -6.313226514951644, -6.347814311729131, -6.370319084720073, -6.397186271370707, -6.4288951787067035, -6.463438067109642, -6.522152438284216]"
36,"[-6.143974788292016, -6.171229490815366, -6.196898583127822, -6.226087044729556, -6.251498566745485, -6.28174972328421, -6.316730337022508, -6.343452419890727, -6.369203069983686, -6.402638843088115]","[-6.166952781165482, -6.192380990619303, -6.219101993153335, -6.2440053427317155, -6.272010549689175, -6.3061332663246406, -6.332099428186656, -6.356373319188596, -6.385967919389249, -6.419256591955663]","[-6.188472688029444, -6.21633474884454, -6.239645803178584, -6.266929039562976, -6.300218598748481, -6.3255024103623985, -6.3487699365419505, -6.377040285448468, -6.408638641069567, -6.479289725254214]"
37,"[-6.098250196649503, -6.1247746212024206, -6.149233914314579, -6.178932370020818, -6.203401363788914, -6.232735685406994, -6.26819306552298, -6.288180473594736, -6.318432654588293, -6.3504531340289825]","[-6.119694835788312, -6.142514356693926, -6.16917653130621, -6.192313534489575, -6.217834296918216, -6.2489661754134325, -6.269015119692984, -6.294835026657882, -6.322573327741328, -6.3521467310401825]","[-6.142588007706145, -6.171821912261585, -6.19491461056743, -6.2216455782530105, -6.256558652478198, -6.274926146003345, -6.301764523121456, -6.332814853149394, -6.362407082202772, -6.442896196129659]"
38,"[-6.045106745324392, -6.070004072971005, -6.094303148798008, -6.123377875424285, -6.1470933640369365, -6.175220168195028, -6.205946099943776, -6.231322995386381, -6.255487275309224, -6.28566998522665]","[-6.068945467417792, -6.092711918001727, -6.1204305644535575, -6.144363813047961, -6.170335426872328, -6.200857080464915, -6.226420458351925, -6.250139584710554, -6.27855876455243, -6.3069918713920865]","[-6.091071276657025, -6.120843280769626, -6.143444302223364, -6.170671480439345, -6.2009455884915985, -6.225471132166425, -6.248397421754638, -6.275933357618491, -6.304873720474283, -6.393188864655534]"
39,"[-5.9872880887567765, -6.012023489209986, -6.037230204078532, -6.06772853735385, -6.092044566977001, -6.121028744834638, -6.152285498785949, -6.176361954990006, -6.2043036178082, -6.234279609504319]","[-6.013015891879401, -6.036750556423864, -6.066175020753941, -6.090174527361593, -6.116113081097207, -6.1470653801109405, -6.170414000272355, -6.195725025131902, -6.222534009709558, -6.249483001872501]","[-6.036556881966864, -6.066234157535111, -6.089873203190838, -6.116711880194818, -6.146679568218862, -6.170809903296505, -6.19454408355323, -6.220462274852072, -6.2476611669388165, -6.339045384081875]"
40,"[-5.927294505957673, -5.9514526894429425, -5.9761838598290185, -6.007583512190888, -6.031532790709446, -6.0591989124307135, -6.0911778139063815, -6.111029861692498, -6.141248405177305, -6.169007964629839]","[-5.9531652583266315, -5.97630037465046, -6.005996908106905, -6.03062659040938, -6.056024164938432, -6.085985806816321, -6.106030252807837, -6.132641525053483, -6.160445132338506, -6.187672658869129]","[-5.979121514803352, -6.0098879441829345, -6.034243789708795, -6.06051030868906, -6.091413053891244, -6.110578187948646, -6.138519640287938, -6.166507533958735, -6.194593356198253, -6.28881112599987]"
