,0,1,2,3,4
10,"[-8.34555020133996, -8.39773526738429, -8.224187299115895, -8.19824117000246, -8.240490961326598, -8.252893454833268, -8.30088059927368, -8.332770835114955, -8.368612195803165, -8.371140655801012]","[-8.3815536239706, -8.230390299256893, -8.10333030312881, -8.143689423944803, -8.185593646164985, -8.24611536055431, -8.307297915365549, -8.370214857306333, -8.404838457848879, -8.430376095842572]","[-8.109019904988806, -7.994231834667723, -8.049814048814575, -8.085582885551254, -8.14543584700207, -8.206865869122545, -8.264790832656423, -8.300902846860687, -8.328695896673004, -8.267469931053917]","[-8.152156915217821, -8.14884694845434, -8.233512045750578, -8.299049617657621, -8.345071030715664, -8.401611695001085, -8.419502528319319, -8.429381229849715, -8.350575969489475, -8.335719913179238]","[-8.256991182610559, -8.272079953149127, -8.363501549855041, -8.425194450810718, -8.465866265043783, -8.49729734022932, -8.497070123394419, -8.435126584907461, -8.381989096244265, -8.376018261024196]"
11,"[-8.241100191688043, -8.298845514273149, -8.209426559125882, -8.21032094713521, -8.270512112791062, -8.282520048695028, -8.323387246953667, -8.352427540721715, -8.36430904306692, -8.372208635697485]","[-8.308720748861816, -8.300049682138052, -8.213065308508959, -8.274398640719738, -8.336806190190401, -8.382364549664345, -8.439128463146773, -8.485050168809977, -8.508387898085203, -8.536389579055395]","[-8.219166547309735, -8.116053037595131, -8.181770175945141, -8.251265667628624, -8.292484723281243, -8.35376074190078, -8.39001511434851, -8.425481375556567, -8.455440897744277, -8.414344139646866]","[-8.147556492087432, -8.209723920521327, -8.284370788333007, -8.331398961094209, -8.384818674025126, -8.418681767729112, -8.438852469396778, -8.468618079048582, -8.422000571114012, -8.372977121693083]","[-8.293636967848116, -8.364095387469106, -8.425174107263857, -8.47883078218537, -8.503280501301461, -8.522099106992655, -8.538293325762325, -8.508992593224221, -8.447754013772183, -8.453622696875655]"
12,"[-8.077913304992222, -8.12951032651236, -8.112545274399423, -8.187485210798883, -8.242786750398778, -8.25913527069261, -8.333231965281271, -8.357570715449953, -8.358145568604783, -8.401650775308923]","[-8.145648421776206, -8.136871989872963, -8.214739468005211, -8.277537476327927, -8.302329238560707, -8.378207434025319, -8.413549605813534, -8.420066961143823, -8.46387468377194, -8.496600695942254]","[-8.101567812005387, -8.176085106769905, -8.24029864344965, -8.251514956096516, -8.32933869187008, -8.360069254154668, -8.349318646567271, -8.400720440524028, -8.433528729455874, -8.350329362528727]","[-8.209451256013333, -8.267386363512694, -8.286040644786178, -8.366510178587257, -8.391399873114048, -8.389347345261692, -8.429615714280724, -8.459301753594398, -8.376016734792708, -8.384051460466205]","[-8.19935253022836, -8.229728465365632, -8.307547432767613, -8.36358964948581, -8.369696580270691, -8.416665975401564, -8.466579046497507, -8.388158325503035, -8.386121250620498, -8.42470809437932]"
13,"[-7.890957585821874, -7.939258645574577, -7.997662051866777, -8.031798302481896, -8.085249363730675, -8.10405124659372, -8.135665308038718, -8.165064013849026, -8.231681547413594, -8.317104935000664]","[-7.949852120843602, -8.009330105748845, -8.050513726440144, -8.102489982512665, -8.12873309735663, -8.15870990302868, -8.187872436609936, -8.250454623964501, -8.340607990291787, -8.391401556101513]","[-8.007842270882431, -8.054013142587248, -8.109810201676193, -8.140182342605296, -8.173141725586358, -8.205408219473068, -8.267354171948138, -8.359444830791656, -8.425186012165252, -8.34644028194398]","[-7.990726688903382, -8.050151037078908, -8.08230198736172, -8.115454958778432, -8.155186289948038, -8.224144259494356, -8.31716962347608, -8.377069612991622, -8.296131288659385, -8.29361174607519]","[-7.99707596554242, -8.025026407007202, -8.055582636881693, -8.089386017907485, -8.156622754324301, -8.248617308128699, -8.29952077000223, -8.214015485633238, -8.202401784163042, -8.240235012870356]"
14,"[-7.571455745427354, -7.609160265354856, -7.670925712613805, -7.718059709696515, -7.765449660299762, -7.787967764242037, -7.811729347734197, -7.8430655062482195, -7.862347878916605, -7.922136918111189]","[-7.619996524880367, -7.685144267509418, -7.744015711824137, -7.797988704870182, -7.833386711309391, -7.860572203526932, -7.895323626230198, -7.923034829552012, -7.983154469634133, -8.031143052036601]","[-7.7045937968670435, -7.765563071358115, -7.824450370508344, -7.863588072943599, -7.895951495158584, -7.9327841630457945, -7.962308647695095, -8.026445257130177, -8.077717500391515, -8.010078700843366]","[-7.769403929796633, -7.826939600494322, -7.872721365627465, -7.906110609856066, -7.946391801324305, -7.984948935892996, -8.0485982922582, -8.095604739126381, -8.024076654550251, -8.011351594675896]","[-7.742849482814152, -7.786329897711355, -7.823531760493595, -7.866360853085596, -7.899424182841856, -7.965847606430132, -8.013806304553825, -7.9337042259372055, -7.9375987568724184, -7.997288558058742]"
15,"[-7.113770388343804, -7.14575587985801, -7.230683416405194, -7.196076005974286, -7.231407400497668, -7.2565956323383976, -7.279926918724053, -7.298893105515711, -7.320881052219741, -7.351828187981122]","[-7.159227652739643, -7.249669840823769, -7.22337675121045, -7.256838716830968, -7.284204181548118, -7.309278948496937, -7.330778153877615, -7.361979436393737, -7.392612695958375, -7.41925641548252]","[-7.246666062875441, -7.228940539314202, -7.265693083657673, -7.291976005091122, -7.317318385719112, -7.339657925321511, -7.368526645256928, -7.394212477161339, -7.421434548004321, -7.28375358532255]","[-7.200452812930504, -7.235082593729654, -7.2849277267064245, -7.312183896994153, -7.340644246881762, -7.374391688948432, -7.413356627320805, -7.4395820377226265, -7.30962625423626, -7.289640028944174]","[-7.228727455523978, -7.269560332683096, -7.2791374794144135, -7.309575690229605, -7.337671984260152, -7.373372514073918, -7.4004696908343535, -7.2614499780286055, -7.234963676233957, -7.274081794818113]"
16,"[-6.895902656229548, -6.914604827972464, -6.931202657731585, -6.963482320519499, -6.99560816979628, -7.008829422505907, -7.022398513021282, -7.042544234754852, -7.056545439387075, -7.077549209097735]","[-6.9347341238084335, -6.9596882546815175, -6.992491391536881, -7.032092873987843, -7.060366121170213, -7.0823365403833884, -7.109168588233282, -7.131074777853777, -7.158308255535652, -7.185028559577753]","[-6.964100455705668, -6.998379601006056, -7.039264926527287, -7.065331270758654, -7.0876039767904535, -7.115404177297498, -7.138214124207045, -7.163292024125005, -7.188767008323814, -7.056015677590515]","[-7.002763420932257, -7.0458519390153524, -7.07231277472552, -7.092236035160982, -7.122357590712869, -7.147056244902575, -7.174471222453081, -7.1876250250565645, -7.049346898339951, -7.048014900071808]","[-7.024422223867807, -7.047642833741341, -7.069607044758234, -7.100523540006909, -7.124809161947999, -7.154269880803261, -7.178006119282875, -7.028927779944572, -7.043830913679633, -7.08818358294848]"
17,"[-6.733125999695251, -6.751875098920057, -6.769851319617222, -6.802402157461832, -6.831081381192992, -6.849292444190572, -6.861883524930666, -6.883721739179085, -6.897766130170415, -6.918964836871813]","[-6.7716671739973, -6.796646230787771, -6.829315201313036, -6.864635915429132, -6.893694222838419, -6.914754311487811, -6.939858273536699, -6.961695306868093, -6.989264638096826, -7.0122855277068785]","[-6.804276755495824, -6.840144982977666, -6.876732243641175, -6.909040535285033, -6.934502898200311, -6.964698700650491, -6.991078155531444, -7.018708462311782, -7.044894842847146, -6.917058302505769]","[-6.839219781838014, -6.876503381214692, -6.905988128192379, -6.928486087627365, -6.957226126722648, -6.980431282229378, -7.007753704942419, -7.0314715702902815, -6.893683676875784, -6.904456587776198]","[-6.858370246923067, -6.886727698704697, -6.9069551514447705, -6.937925091570713, -6.961370885929562, -6.989235835707285, -7.015011469459631, -6.871006021833517, -6.885607544890143, -6.922487117907502]"
18,"[-6.623039172398476, -6.63918077516797, -6.655113629432945, -6.685020699533252, -6.7110813142681405, -6.719357150042979, -6.738740504155485, -6.7589673329094335, -6.770559171582191, -6.790120607609479]","[-6.6628658586025145, -6.691034985783687, -6.724362632337203, -6.760238843116155, -6.788267640474429, -6.814804783168426, -6.8445420321851875, -6.869724555018535, -6.897107713001957, -6.923650749105206]","[-6.692742854800904, -6.726541951742852, -6.762119275030577, -6.785151146796429, -6.810451375764692, -6.838393234160626, -6.860128254142487, -6.8824243643105865, -6.904821971875513, -6.787356341701829]","[-6.727327507480756, -6.763723157837764, -6.786366478100196, -6.8143089027402555, -6.844125211730376, -6.867330587029234, -6.895410787805692, -6.908490553989783, -6.787346818044559, -6.809214091419951]","[-6.748980493529623, -6.770931502117699, -6.801858511998241, -6.834286556824034, -6.860390943719929, -6.890475678502505, -6.919461814000194, -6.786978406145161, -6.810257937072699, -6.8484314337958745]"
19,"[-6.549374582868495, -6.564446763758042, -6.580965334240773, -6.608666296739557, -6.636318595771172, -6.645928462658503, -6.6632126380395675, -6.6840228491169, -6.693892140564003, -6.71152426737217]","[-6.5833877726528485, -6.610479694891318, -6.64241709290777, -6.67922815038596, -6.707708607527955, -6.732884314942702, -6.762005924347385, -6.787780192780836, -6.814195505443557, -6.840174001741751]","[-6.6117190498830105, -6.642539086189988, -6.680105479803803, -6.7012166757108, -6.722735949230316, -6.749881144982698, -6.768717429039004, -6.79632061943126, -6.821869364377978, -6.715158550438407]","[-6.644859257396354, -6.683412256892814, -6.70792137762536, -6.73352662591268, -6.762783932741775, -6.784276332017078, -6.812149008046879, -6.8383025110327145, -6.728246662076606, -6.731459510987668]","[-6.674095916326091, -6.6962331130606385, -6.7234599597257825, -6.755112186769888, -6.776553478787586, -6.806432458336398, -6.834688302825138, -6.720251266608879, -6.731182107466206, -6.77110925479506]"
